onset	duration	word	response	response_time	trial_type
0.8008	2.5	Cheese	n/a	2.1452	CR
4.4868	2.5	Tiger	2	0.9113	Hit
7.8896	2.5	Seed	1	0.8579	CR
11.7251	2.5	Necklace	2	1.0742	CR
14.8777	2.5	Banana	1	1.2043	CR
18.8471	2.5	Ball	2	0.7666	CR
21.9498	2.5	Tongue	n/a	0.7449	Hit
25.3017	2.5	Walnut	1	1.2487	Hit
28.6374	2.5	Mouse	1	0.7612	CR
32.6235	2.5	Curler	2	1.3189	Hit
35.7259	2.5	Knife	1	0.9882	Hit
39.1784	2.5	Broom	1	1.6402	Hit
42.2141	2.5	Pie	1	0.8312	Hit
46.1167	2.5	Typewriter	2	1.4166	CR
49.8530	2.5	Saucer	2	1.2082	CR
52.9218	2.5	Rock	1	1.0427	Hit
56.1241	2.5	Plum	1	0.9881	CR
59.6766	2.5	Wig	2	0.8640	Hit
63.0455	2.5	Head	1	0.9117	CR
66.6479	2.5	Honey	2	1.4262	CR
70.5014	2.5	Coat	2	2.0022	CR
73.6712	2.5	Sparrow	1	1.0533	CR
77.1390	2.5	Sugar	n/a	0.8744	Hit
81.0920	2.5	Hat	2	1.4968	CR
84.9612	2.5	Garden	2	0.9090	Hit
88.3639	2.5	Shed	1	1.5087	Hit
91.7174	2.5	Mattress	1	1.2561	CR
94.9685	2.5	Limousine	1	1.1969	CR
98.2710	2.5	Rat	1	0.9517	Hit
102.0570	2.5	Jeep	2	1.9869	CR
105.3928	2.5	Egg	1	1.5049	Hit
108.5438	2.5	Beetle	1	1.1236	Hit
112.4478	2.5	Tooth	2	0.7986	CR
116.1505	2.5	Sand	2	0.9730	CR
119.9695	2.5	Fox	2	0.7885	Hit
123.2553	2.5	Asparagus	1	0.8144	Hit
126.6569	2.5	Sleigh	n/a	0.8248	CR
130.6271	2.5	Peach	2	0.8729	Hit
133.8468	2.5	Pear	1	1.1030	CR
137.5491	2.5	Hand	2	1.2220	CR
140.7181	2.5	Potato	1	0.9664	CR
144.1704	2.5	Onion	n/a	0.8454	CR
147.3573	2.5	Pencil	1	1.1518	CR
150.7419	2.5	Belt	1	0.9205	Hit
154.2277	2.5	Weed	1	1.1734	CR
157.2964	2.5	Nose	1	0.9280	Hit
160.5817	2.5	Tomato	1	0.8916	CR
164.4349	2.5	Thread	2	0.8436	Hit
168.0722	2.5	Blanket	2	n/a	NoResp
172.0905	2.5	Snow	2	0.9504	Hit
175.1425	2.5	Cigarette	1	n/a	NoResp
178.8288	2.5	Window	2	0.7011	Hit
182.4158	2.5	Shirt	2	0.8454	CR
185.9172	2.5	Penny	n/a	0.9045	Hit
189.8698	2.5	Snake	2	0.9373	Hit
192.8890	2.5	Lion	1	0.8026	Hit
196.5241	2.5	Mirror	2	1.5493	CR
199.9439	2.5	Milk	1	0.7512	Hit
203.7131	2.5	Earthworm	2	0.8688	CR
207.6659	2.5	Boat	2	n/a	NoResp
210.9174	2.5	Eye	1	0.8669	Hit
214.7379	2.5	Grape	2	0.9642	CR
218.4571	2.5	Steak	2	1.1449	CR
221.7096	2.5	Door	1	n/a	NoResp
225.1121	2.5	Rum	1	0.7746	CR
228.6476	2.5	Cake	2	1.4997	Miss
232.4672	2.5	Cereal	2	1.0167	CR
235.9700	2.5	Ship	2	0.7730	Hit
239.5724	2.5	Apple	2	0.8191	CR
243.4920	2.5	Bed	2	1.3032	Hit
247.0776	2.5	Stone	2	0.8630	CR
250.7138	2.5	Rabbit	2	0.7902	Hit
254.2164	2.5	Sun	1	0.9015	Hit
258.0023	2.5	Bag	2	0.8018	CR
261.2211	2.5	Cotton	1	1.1361	Hit
264.2567	2.5	Grasshopper	n/a	0.7807	CR
267.4603	2.5	Bread	n/a	0.8613	CR
270.5608	2.5	Jersey	n/a	0.9921	CR
274.2986	2.5	Flea	2	0.7865	Hit
278.3002	2.5	Car	2	1.3992	CR
281.9540	2.5	Carrot	2	0.9107	Hit
285.2717	2.5	Cement	1	0.8728	Hit
289.0744	2.5	Shark	2	0.7753	Hit
292.6268	2.5	Jacket	2	0.9081	CR
296.2798	2.5	Land	2	0.9809	CR
300.2003	2.5	Wool	2	0.8678	Hit
303.3515	2.5	Pond	1	0.7876	Hit
306.8374	2.5	Rain	1	1.0594	Hit
310.4400	2.5	Cork	2	1.2365	CR
313.9590	2.5	Wood	2	1.2450	CR
317.8451	2.5	Pickle	2	0.7984	Hit
321.5811	2.5	Gravy	2	0.8338	Hit
324.7002	2.5	Radio	1	0.6959	Hit
328.4529	2.5	Film	2	1.1211	Hit
331.9221	2.5	Frog	2	0.8209	Hit
335.8246	2.5	Strawberry	2	0.8553	CR
338.9602	2.5	Pillow	1	1.2588	CR
342.4976	2.5	Straw	2	0.8380	Hit
345.7321	2.5	Tail	n/a	0.9658	CR
348.8174	2.5	Needle	1	0.8412	CR
