onset	duration	stimulus_string	response	response_time	correct_response
0.5005	2.5	Animal	n/a	n/a	1
3.5027	2.5	Yacht	1	1.3121	1
6.4719	2.5	Mood	2	0.9390	2
9.4750	2.5	Dentist	1	1.1370	1
12.4761	2.5	Baby	1	0.6597	1
15.4951	2.5	Club	1	1.5579	1
18.4972	2.5	Deficient	2	1.1395	2
21.4989	2.5	Behavior	2	0.9147	2
24.5011	2.5	Intellect	2	1.2017	2
27.4874	2.5	Hot	2	0.7966	1
30.4891	2.5	usfzsw	2	1.9460	2
33.4912	2.5	UYMRUA	1	0.9567	1
36.4935	2.5	FINLCP	1	0.9321	1
39.4954	2.5	uwacew	2	0.5626	2
42.4975	2.5	hqpfay	2	0.8813	2
45.4997	2.5	cibdvv	2	0.8352	2
48.5019	2.5	tmrnuj	2	0.7991	2
51.5041	2.5	UFCVLP	1	0.7598	1
54.4897	2.5	BHEOGM	1	1.0362	1
57.4755	2.5	iejalb	2	0.5623	2
60.4769	2.5	Aluminum	n/a	n/a	1
63.4959	2.5	Definition	2	1.5790	2
66.4816	2.5	Challenge	2	1.3715	2
69.5004	2.5	Tunnel	1	0.6447	1
72.4858	2.5	Opinion	2	0.7861	2
75.4876	2.5	Background	2	1.9142	2
78.4741	2.5	Fuel	1	0.8487	1
81.4753	2.5	Vow	2	1.4522	2
84.4780	2.5	Gold	1	0.9118	1
87.4796	2.5	Cheek	1	1.0284	1
90.4987	2.5	JQBEBC	1	1.2170	1
93.5009	2.5	TQUAMB	1	0.5319	1
96.4870	2.5	PGEJFW	1	0.6560	1
99.4882	2.5	IAQQPL	1	0.5246	1
102.4907	2.5	ljaycz	2	0.6292	2
105.4760	2.5	SUMVLC	1	0.7911	1
108.4785	2.5	kkjmzq	2	0.6285	2
111.4970	2.5	IXHEFN	1	0.4468	1
114.4826	2.5	qtmlyv	2	0.4771	2
117.5015	2.5	HWOCDA	1	0.5622	1
120.4876	2.5	Ant	1	1.5624	1
123.4731	2.5	Pity	2	1.0766	2
126.4755	2.5	Adult	1	1.3023	1
129.4932	2.5	Extreme	2	1.0177	2
132.4795	2.5	Yard	1	1.8984	1
135.4977	2.5	Quality	n/a	n/a	2
138.4833	2.5	Gift	2	2.4424	1
141.4866	2.5	Herb	1	0.9964	1
144.4876	2.5	Capacity	2	1.5611	2
147.4896	2.5	Ornament	1	1.2272	1
150.4755	2.5	zefnpo	2	1.0582	2
153.4791	2.5	HJCYVN	1	0.6336	1
156.4801	2.5	lacqfu	2	0.4174	2
159.4983	2.5	bfnjvc	2	0.8343	2
162.4838	2.5	bqkoxc	2	1.8038	2
165.5025	2.5	zhuseg	2	1.5184	2
168.4882	2.5	yvrfxr	2	1.5495	2
171.4902	2.5	gibsxk	2	1.2660	2
174.4758	2.5	pxtgjt	2	1.2180	2
177.4945	2.5	pcazyb	2	0.8282	2
180.4801	2.5	Failure	n/a	n/a	2
183.4988	2.5	Unlimited	2	1.1938	2
186.5008	2.5	Zero	2	2.1130	2
189.5031	2.5	Persecution	2	1.8127	2
192.4717	2.5	Elm	1	1.1521	1
195.4739	2.5	Zoo	1	0.7189	1
198.4764	2.5	Gown	1	1.1214	1
201.4950	2.5	Talent	2	1.4707	2
204.4973	2.5	Social	2	1.0796	2
207.4825	2.5	Way	1	1.5121	2
210.4849	2.5	fptynb	2	0.9677	2
213.4886	2.5	YOMIUE	1	0.5151	1
216.4891	2.5	trqpml	2	0.5618	2
219.4913	2.5	xyarmc	2	0.9805	2
222.4769	2.5	FZHTDH	1	0.7071	1
225.4957	2.5	SCYHZD	1	1.3161	1
