onset	duration	word	response	response_time	trial_type
0.9008	2.5	Potato	1	1.3174	Hit
4.2704	2.5	Teeth	1	0.8642	Hit
7.4725	2.5	Beach	1	1.0346	CR
11.4752	2.5	Bridge	1	n/a	NoResp
14.8778	2.5	Bean	1	1.6064	CR
18.8304	2.5	Steak	2	0.7801	Hit
22.0994	2.5	Rat	1	0.8357	Hit
25.1353	2.5	Eye	1	0.7690	CR
28.8212	2.5	Saucer	2	1.4215	CR
32.0065	2.5	Straw	1	1.1592	Hit
35.4258	2.5	Tomato	1	1.0482	Hit
38.8950	2.5	Meal	1	0.9717	CR
42.0637	2.5	Garden	1	0.8585	CR
45.9498	2.5	Cucumber	2	1.8463	Hit
49.1023	2.5	Wig	1	1.2197	CR
52.2212	2.5	Heart	1	0.8477	Hit
55.4406	2.5	Blouse	1	0.8311	CR
58.9261	2.5	Cherry	1	0.9751	Hit
62.6618	2.5	Grape	2	0.8896	Hit
66.4147	2.5	Brick	1	1.1461	CR
70.3842	2.5	Pea	2	1.1000	CR
74.2035	2.5	Fruit	2	0.8677	Hit
77.2233	2.5	Needle	1	0.8490	CR
80.5749	2.5	Lion	1	1.7958	CR
84.1772	2.5	Handkerchief	2	0.8988	CR
87.9802	2.5	Thumb	2	0.8625	CR
91.2326	2.5	Chair	1	0.9884	Hit
94.5350	2.5	Weed	1	0.8540	Hit
97.5537	2.5	Ink	1	1.4926	Hit
101.4732	2.5	Snow	2	0.8341	CR
104.9760	2.5	Pin	n/a	0.8538	Hit
108.6280	2.5	Pedal	2	1.4853	Hit
112.1307	2.5	Jacket	2	0.9506	CR
115.4999	2.5	Pie	1	0.9020	Hit
119.1026	2.5	Shark	2	1.1845	CR
122.9052	2.5	Pillow	2	1.0381	CR
126.3577	2.5	Cigarette	1	1.0313	CR
129.5931	2.5	Curler	1	n/a	NoResp
133.3454	2.5	Typewriter	2	1.4253	Hit
136.6817	2.5	Clown	1	1.0035	CR
139.7504	2.5	Bandage	1	0.8989	Hit
143.5699	2.5	Pencil	2	0.9029	CR
146.6400	2.5	Carrot	1	0.7622	Hit
150.0746	2.5	Collar	1	0.8360	CR
153.3599	2.5	Camera	2	0.8345	CR
156.6972	2.5	Skirt	1	0.9653	Hit
160.5654	2.5	Rain	2	1.0428	Hit
163.8345	2.5	Fur	1	2.4285	FA
167.4705	2.5	Rope	1	1.4813	CR
171.0564	2.5	Ceiling	2	0.9578	Hit
174.1088	2.5	Forest	1	1.3587	CR
177.7611	2.5	Harbour	2	n/a	NoResp
181.5470	2.5	Penny	2	1.8884	CR
185.4505	2.5	Asparagus	2	0.7916	Hit
188.5526	2.5	Door	1	1.2830	FA
192.3049	2.5	Broom	n/a	0.8591	CR
195.8574	2.5	Fox	2	0.7058	Hit
199.8767	2.5	Frost	2	1.0070	CR
203.2632	2.5	Pond	1	0.7696	Hit
206.4161	2.5	Tiger	1	0.9451	Hit
209.9510	2.5	Bed	1	1.6004	CR
213.4372	2.5	Knife	1	0.7724	Miss
216.7227	2.5	Water	1	0.9152	Hit
220.4252	2.5	Pill	2	0.9439	Miss
224.3947	2.5	Jersey	2	1.0331	CR
227.7138	2.5	Blood	1	1.0833	Hit
231.6333	2.5	Mud	2	1.0053	Miss
234.8523	2.5	Button	2	1.3434	CR
238.7047	2.5	Clothes	2	0.7327	CR
242.1575	2.5	Sun	1	0.7817	CR
246.0934	2.5	Sleigh	2	0.8916	Hit
249.9628	2.5	Blanket	1	0.9969	CR
253.0988	2.5	Bath	1	1.7849	CR
257.0512	2.5	Flea	2	0.9204	Hit
260.7208	2.5	Lemon	1	1.2713	Hit
264.7067	2.5	Basin	2	1.2114	Hit
268.2762	2.5	Drum	2	0.9020	Miss
272.1290	2.5	Jaw	2	1.6718	Hit
275.7479	2.5	Coffee	2	0.7824	Hit
279.4676	2.5	Mouse	2	0.9204	CR
283.1202	2.5	Pig	2	1.2459	CR
286.2059	2.5	Tooth	1	0.8043	CR
289.5415	2.5	Head	1	1.5199	Hit
293.0941	2.5	Belt	2	0.9059	CR
297.0969	2.5	Bread	1	1.1001	Hit
300.7160	2.5	Necklace	2	0.8217	CR
304.4188	2.5	Land	2	1.2407	CR
308.1381	2.5	Sheet	n/a	0.8958	CR
311.4080	2.5	Radio	1	2.0116	Hit
314.4604	2.5	Chalk	1	1.2453	Hit
317.5953	2.5	Tea	1	1.0544	Hit
321.1476	2.5	Strawberry	2	0.8669	CR
324.9167	2.5	Mirror	2	0.8577	Hit
328.1192	2.5	House	1	2.1215	CR
331.6383	2.5	Stone	1	1.1084	CR
334.7239	2.5	Pear	1	1.2005	Hit
338.6265	2.5	Cotton	2	1.2752	CR
342.4627	2.5	Onion	2	1.1936	Hit
345.9142	2.5	Cookie	1	1.5489	Hit
349.1673	2.5	Grasshopper	1	1.9008	Miss
