onset	duration	face	response	response_time	trial_type
0.7488	2.5	stimuli/Faces/EMBfemale20neutral.bmp	1	1.9655	Subsequent_Hit
4.2848	2.5	stimuli/Faces/TSFWmale69neutral.bmp	2	0.9636	Subsequent_Hit
7.8367	2.5	stimuli/Faces/EMWfemale18-2neutral.bmp	2	1.0498	Subsequent_Hit
11.4732	2.5	stimuli/Faces/TMBmale30neutral.bmp	1	1.4064	Subsequent_Miss
14.7597	2.5	stimuli/Faces/EMImale24-4neutral.bmp	1	1.3725	Subsequent_Miss
17.8111	2.5	stimuli/Faces/TSFBfemale65neutral.bmp	2	2.2591	Subsequent_Hit
20.8961	2.5	stimuli/Faces/TMBmale28neutral.bmp	1	1.6521	Subsequent_Hit
24.2991	2.5	stimuli/Faces/JWfemale80-4neutral.bmp	2	1.1280	Subsequent_Hit
27.7683	2.5	stimuli/Faces/JWmale71neutral.bmp	1	1.1163	Subsequent_Hit
31.2041	2.5	stimuli/Faces/TMBmale21-3neutral.bmp	2	1.3642	Subsequent_Hit
34.7231	2.5	stimuli/Faces/EMImale21-2neutral.bmp	1	1.1350	Subsequent_Miss
37.8588	2.5	stimuli/Faces/JWfemale65-6neutral.bmp	2	1.3594	Subsequent_Hit
41.8617	2.5	stimuli/Faces/EMWmale21-3neutral.bmp	2	1.6116	Subsequent_Hit
45.6644	2.5	stimuli/Faces/WBmale31neutral.bmp	2	1.3509	Subsequent_Miss
48.8834	2.5	stimuli/Faces/TSFWmale63neutral.bmp	2	1.3131	Subsequent_Hit
52.5860	2.5	stimuli/Faces/TMWfemale31neutral.bmp	2	1.2962	Subsequent_Miss
55.6880	2.5	stimuli/Faces/JWfemale71-2neutral.bmp	2	1.0230	Subsequent_Hit
59.5777	2.5	stimuli/Faces/EMIfemale25-2neutral.bmp	2	1.0266	Subsequent_Miss
63.2105	2.5	stimuli/Faces/JWmale64neutral.bmp	2	1.2217	Subsequent_Miss
66.5628	2.5	stimuli/Faces/JWmale67neutral.bmp	1	1.0645	Subsequent_Miss
70.4326	2.5	stimuli/Faces/JWmale81-2neutral.bmp	1	1.2526	Subsequent_Miss
74.0343	2.5	stimuli/Faces/EMHmale22neutral.bmp	1	0.9891	Subsequent_Miss
77.2212	2.5	stimuli/Faces/TMWfemale40neutral.bmp	2	0.7620	Subsequent_Hit
80.9730	2.5	stimuli/Faces/TMWmale19neutral.bmp	2	0.9661	Subsequent_Miss
84.0087	2.5	stimuli/Faces/JWfemale86-2neutral.bmp	n/a	n/a	Subsequent_NoResp
87.6276	2.5	stimuli/Faces/EMWfemale21-3neutral.bmp	1	1.4486	Subsequent_Hit
90.7468	2.5	stimuli/Faces/JWfemale70-4neutral.bmp	1	1.3693	Subsequent_Hit
94.1326	2.5	stimuli/Faces/JWmale83-2neutral.bmp	2	0.7876	Subsequent_Hit
97.1514	2.5	stimuli/Faces/JWmale38neutral.bmp	2	0.7758	Subsequent_Hit
100.2371	2.5	stimuli/Faces/JWmale66neutral.bmp	2	1.5084	Subsequent_Miss
103.5059	2.5	stimuli/Faces/Wmale_55.bmp	2	1.0432	Subsequent_Miss
107.3261	2.5	stimuli/Faces/TSFWmale74neutral.bmp	2	1.2533	Subsequent_Miss
111.0614	2.5	stimuli/Faces/TMBmale49neutral.bmp	1	0.7077	Subsequent_Hit
114.3637	2.5	stimuli/Faces/JWfemale65-4neutral.bmp	1	1.3534	Subsequent_Miss
118.0332	2.5	stimuli/Faces/JWfemale78-3neutral.bmp	1	1.7839	Subsequent_Hit
121.8019	2.5	stimuli/Faces/JWfemale68-2neutral.bmp	2	0.8341	Subsequent_Hit
124.9211	2.5	stimuli/Faces/EMIfemale19neutral.bmp	2	1.5101	Subsequent_Hit
128.2904	2.5	stimuli/Faces/TSFBfemale70-2neutral.bmp	2	1.9856	Subsequent_Hit
131.4934	2.5	stimuli/Faces/Wmale_50.bmp	2	1.1465	Subsequent_Miss
134.8123	2.5	stimuli/Faces/JBmale68neutral.bmp	2	1.2990	Subsequent_Hit
138.7978	2.5	stimuli/Faces/TMBmale21neutral.bmp	1	0.7413	Subsequent_Miss
142.6334	2.5	stimuli/Faces/TMWmale33neutral.bmp	1	1.4487	Subsequent_Miss
146.2198	2.5	stimuli/Faces/TSFHmale65neutral.bmp	1	0.8362	Subsequent_Hit
149.4897	2.5	stimuli/Faces/JWfemale50neutral.bmp	2	0.7743	Subsequent_Miss
152.9414	2.5	stimuli/Faces/TMBfemale51neutral.bmp	2	1.3818	Subsequent_Miss
156.7275	2.5	stimuli/Faces/EMBfemale26neutral.bmp	1	0.8955	Subsequent_Hit
159.8630	2.5	stimuli/Faces/JWfemale63-3neutral.bmp	2	0.7998	Subsequent_Miss
163.8826	2.5	stimuli/Faces/EMBfemale21neutral.bmp	1	0.8914	Subsequent_Hit
167.6862	2.5	stimuli/Faces/JWfemale77-4neutral.bmp	2	0.9109	Subsequent_Hit
171.5881	2.5	stimuli/Faces/JWmale73neutral.bmp	2	1.1620	Subsequent_Miss
175.0406	2.5	stimuli/Faces/Wmale_55-3.bmp	1	1.2584	Subsequent_Miss
