onset	duration	word	response	response_time	trial_type
1.4013	2.5	Carrot	2	1.0956	Miss
4.7038	2.5	Ink	2	0.9619	CR
8.6565	2.5	Skunk	1	0.7222	Hit
11.7588	2.5	Book	2	0.8738	CR
15.5114	2.5	Coffee	1	0.5822	Hit
19.3641	2.5	Blanket	1	0.6594	Hit
22.9835	2.5	Bed	1	0.6591	Hit
26.1024	2.5	Toe	2	0.7251	CR
29.6052	2.5	Hammer	2	0.7773	CR
33.3240	2.5	Collar	1	1.0494	Hit
36.4596	2.5	Chair	2	1.0470	CR
39.8802	2.5	Pedal	2	0.9923	CR
43.5817	2.5	Rum	1	0.6619	Hit
47.2338	2.5	Painting	1	0.8128	Hit
51.1870	2.5	Mirror	1	0.6855	Hit
54.3716	2.5	Wig	2	1.3432	CR
58.1749	2.5	Lion	1	0.6267	Hit
61.5290	2.5	Jersey	2	1.1014	CR
64.9803	2.5	Mud	2	0.8852	CR
68.8498	2.5	Potato	1	0.6679	Hit
72.5191	2.5	Steak	1	0.6255	Hit
76.2551	2.5	Beef	1	0.5855	Hit
80.1577	2.5	Sheep	1	0.6548	Hit
83.1600	2.5	Rain	2	0.9004	CR
86.6292	2.5	Skirt	2	0.9584	CR
89.7146	2.5	Bracelet	2	0.9709	CR
93.2838	2.5	Pond	1	0.6856	Hit
96.3207	2.5	Chicken	2	0.9787	CR
99.7386	2.5	Belt	1	1.3580	FA
103.6746	2.5	Button	1	1.6960	Hit
107.0270	2.5	Lamp	2	0.8493	CR
111.0466	2.5	Vegetable	1	0.7098	Hit
115.0494	2.5	Tomato	1	0.9169	Hit
118.8189	2.5	Duck	2	1.8366	Miss
122.0712	2.5	Knife	2	1.2062	CR
125.2415	2.5	Chestnut	2	0.9588	CR
129.2097	2.5	Tooth	1	0.8308	Hit
132.4786	2.5	Thread	2	0.8241	CR
136.4646	2.5	Frog	1	0.7187	Hit
139.5505	2.5	Fox	2	0.7752	CR
143.3197	2.5	Bandage	1	0.9957	Hit
147.2892	2.5	Bread	1	0.9601	Hit
150.6251	2.5	Ankle	2	1.4423	CR
154.0942	2.5	Shrimp	2	0.8931	CR
157.8970	2.5	Rug	1	0.8346	Hit
161.4493	2.5	Harbour	1	0.7691	Hit
165.3522	2.5	Cake	2	1.1864	Miss
169.1394	2.5	Whale	1	0.8510	Hit
172.5075	2.5	Tail	2	0.7950	CR
175.9933	2.5	Wool	2	0.8922	CR
179.2457	2.5	Radio	2	0.7438	CR
183.0984	2.5	Jeep	1	0.7761	Hit
186.8008	2.5	Diamond	1	0.6536	Hit
190.2368	2.5	Cherry	2	0.7145	CR
193.3237	2.5	Sugar	2	0.7707	CR
197.1081	2.5	Window	1	0.7724	Hit
200.6943	2.5	Boat	2	0.7421	Miss
204.3459	2.5	Garden	1	0.8294	Hit
207.3673	2.5	Walrus	2	0.6692	CR
210.8681	2.5	Beach	2	2.1361	CR
214.0216	2.5	Bridge	2	1.9742	CR
217.8400	2.5	Weed	1	2.2974	Hit
221.0939	2.5	Ship	2	2.0653	CR
224.8447	2.5	Typewriter	1	0.9514	Hit
228.2143	2.5	Saucer	2	0.9073	CR
231.8000	2.5	Hat	2	1.2014	Miss
235.2023	2.5	Water	2	1.2089	CR
239.1217	2.5	Orange	1	0.7524	Hit
242.8079	2.5	Skin	1	1.4703	Hit
246.0271	2.5	Rabbit	2	0.7872	CR
249.0957	2.5	Limousine	2	0.7956	CR
252.3802	2.5	Beetle	2	0.8729	CR
255.9685	2.5	Lemon	1	0.7687	Hit
259.7868	2.5	Cigarette	1	1.1774	Hit
263.4058	2.5	Umbrella	2	1.0323	Miss
266.8251	2.5	Land	2	1.3643	CR
270.7111	2.5	Rocket	1	0.6612	Hit
274.0305	2.5	Fur	2	0.7977	CR
277.2662	2.5	Penny	2	0.7831	CR
280.9017	2.5	Shirt	1	1.3214	Hit
284.8881	2.5	Snow	1	1.3362	Hit
287.9902	2.5	Jaw	2	0.7830	CR
291.8432	2.5	Sand	1	0.8790	Hit
295.0784	2.5	Grasshopper	2	0.8070	CR
298.5644	2.5	Flea	2	0.6968	CR
302.0837	2.5	Pear	1	1.1024	Hit
305.6030	2.5	Wood	1	0.6794	Hit
309.3223	2.5	Sun	1	0.6600	Hit
312.5248	2.5	Teeth	2	1.6082	CR
315.8770	2.5	Meal	2	0.8391	CR
319.4124	2.5	Brick	1	0.7557	Hit
322.4480	2.5	Sofa	2	0.6941	CR
325.8342	2.5	Frost	2	1.2411	CR
329.0030	2.5	Pillow	2	1.2181	CR
332.5720	2.5	Peach	1	1.0251	Hit
335.7091	2.5	Fruit	n/a	n/a	NoResp
339.3603	2.5	Clown	1	0.7430	Hit
342.4121	2.5	Flag	2	0.6961	CR
345.6140	2.5	Gravy	2	1.2791	CR
348.9169	2.5	Rat	2	1.4570	CR
