onset	duration	word	response	response_time	trial_type
0.9495	2.5	Tomato	1	1.9523	CR
4.3686	2.5	Rope	1	0.9616	CR
8.3217	2.5	Sun	2	0.6496	Hit
12.0744	2.5	Lemonade	2	0.7893	CR
15.3601	2.5	Egg	2	0.5986	CR
18.8128	2.5	Thread	1	0.6242	CR
22.1316	2.5	Sheep	1	0.8816	Hit
26.1512	2.5	Lemon	2	0.5525	CR
29.8370	2.5	Wig	2	0.6180	CR
33.1394	2.5	Head	1	0.6796	Hit
37.0090	2.5	Jeep	2	0.7172	CR
40.0941	2.5	Clown	1	0.8045	Hit
43.9640	2.5	Sofa	2	0.6575	Hit
47.8166	2.5	Chalk	2	0.6015	CR
50.9691	2.5	Soup	1	0.6312	CR
54.1878	2.5	Cork	1	0.9272	CR
57.9921	2.5	Pin	2	0.8986	CR
61.0765	2.5	Pond	1	0.6798	Hit
64.3453	2.5	Fox	1	1.1168	CR
67.4144	2.5	Blouse	1	0.7380	Miss
70.9334	2.5	Coffee	n/a	0.8357	Hit
74.3354	2.5	Potato	1	0.7052	Hit
77.8383	2.5	Shrimp	1	0.6465	Hit
81.8412	2.5	Whale	2	0.8662	CR
85.2437	2.5	Cigarette	1	0.6737	Hit
88.4459	2.5	Pig	2	0.6366	Hit
91.5971	2.5	Hat	1	0.8804	CR
95.1006	2.5	Rug	1	0.6214	Hit
98.4696	2.5	Harbour	1	0.8548	CR
102.1223	2.5	Garden	2	1.2014	CR
105.7918	2.5	Pencil	2	0.7670	Hit
109.4610	2.5	Bath	2	0.9668	CR
113.2650	2.5	Thumb	2	1.3280	CR
117.1510	2.5	Cucumber	2	0.9445	CR
120.2019	2.5	Cookie	1	0.6037	Hit
123.3722	2.5	Ankle	1	0.5698	Hit
127.3571	2.5	House	2	1.4826	CR
130.8943	2.5	Blanket	2	0.8204	CR
134.6957	2.5	Mattress	2	0.7292	CR
138.0648	2.5	Banana	1	0.6397	Hit
141.9511	2.5	Ball	2	0.6924	Hit
145.6700	2.5	Car	2	0.8234	Hit
149.5732	2.5	Boat	1	1.4181	CR
152.6252	2.5	Sleigh	1	0.6156	Hit
155.6772	2.5	Carrot	1	0.7799	CR
159.1468	2.5	Duck	1	0.9981	Hit
162.2821	2.5	Sparrow	1	0.6740	Hit
165.6510	2.5	Door	2	1.0739	CR
168.9216	2.5	Mountain	1	1.0893	Hit
172.6395	2.5	Mirror	2	0.7261	Hit
175.9919	2.5	Cement	1	0.7868	CR
179.4112	2.5	Walnut	1	0.6659	CR
182.5148	2.5	Bridge	1	0.7416	Hit
185.9825	2.5	Brick	1	0.7453	Hit
189.8188	2.5	Cereal	2	0.7455	Hit
193.7884	2.5	Saucer	2	0.5930	Hit
197.2754	2.5	Pickle	1	0.6663	Hit
200.8933	2.5	Spoon	1	0.6978	Hit
204.6628	2.5	Nose	2	0.6661	Hit
208.0986	2.5	Flea	1	0.5492	Hit
211.7176	2.5	Rice	2	0.8380	Hit
215.4205	2.5	Book	2	1.0843	CR
218.6727	2.5	Straw	1	0.6331	CR
222.4421	2.5	Radio	2	0.9486	Miss
225.6608	2.5	Painting	1	0.6906	Hit
229.5807	2.5	Tiger	2	1.1154	Hit
233.5336	2.5	Forest	2	1.0742	Hit
237.4862	2.5	Skunk	2	0.7476	CR
240.6055	2.5	Fruit	1	0.7060	Hit
243.8575	2.5	Mouse	1	0.6944	CR
247.0432	2.5	Snow	1	0.6370	CR
250.7960	2.5	Bread	2	0.9130	CR
254.3819	2.5	Stone	2	0.4333	Hit
258.0009	2.5	Bracelet	2	0.7875	CR
261.1368	2.5	Shirt	1	1.4867	CR
264.6057	2.5	Penny	1	0.6006	CR
268.4084	2.5	Walrus	2	0.7735	CR
271.5110	2.5	Grape	1	0.8877	Hit
274.5298	2.5	Skirt	1	0.6716	CR
278.3671	2.5	Weed	1	0.6343	CR
281.5678	2.5	Heart	2	0.7967	CR
285.5543	2.5	Plum	2	0.7864	Hit
288.8078	2.5	Pants	2	0.8229	CR
292.3258	2.5	Basin	2	1.2150	CR
296.0285	2.5	Fur	2	0.7369	Hit
299.3308	2.5	Frog	1	0.5959	CR
303.1168	2.5	Beach	2	0.7401	Hit
306.8029	2.5	Jersey	2	0.6569	Hit
310.7389	2.5	Chair	2	1.2362	Hit
314.6419	2.5	Gravy	2	1.0102	Hit
318.2442	2.5	Needle	2	1.0058	CR
321.4133	2.5	Beef	1	0.6906	Hit
324.4321	2.5	Garlic	1	1.0075	CR
327.7846	2.5	Teeth	1	0.8523	CR
331.1047	2.5	Cheese	1	n/a	NoResp
334.7061	2.5	Elbow	2	1.2874	CR
338.3590	2.5	Land	2	0.6938	Hit
341.9279	2.5	Vegetable	2	0.6009	Hit
345.4975	2.5	Glove	2	1.5759	CR
349.0500	2.5	Bandage	2	1.5824	Miss
