onset	duration	stimulus_string	response	response_time	correct_response
0.5011	2.5	Animal	1	1.0119	1
3.5032	2.5	Yacht	1	0.6618	1
6.4890	2.5	Mood	2	0.5649	2
9.4910	2.5	Dentist	2	1.0210	1
12.4755	2.5	Baby	1	0.8384	1
15.4789	2.5	Club	1	0.6351	1
18.4974	2.5	Deficient	2	0.8615	2
21.4832	2.5	Behavior	2	0.6087	2
24.5017	2.5	Intellect	2	0.9652	2
27.4873	2.5	Hot	2	0.9088	1
30.4892	2.5	usfzsw	2	1.1886	2
33.4752	2.5	UYMRUA	1	0.7209	1
36.4937	2.5	FINLCP	1	0.7484	1
39.4796	2.5	uwacew	2	0.8394	2
42.4978	2.5	hqpfay	2	0.5972	2
45.5001	2.5	cibdvv	2	0.6259	2
48.5021	2.5	tmrnuj	2	0.5129	2
51.5045	2.5	UFCVLP	1	0.5062	1
54.4899	2.5	BHEOGM	1	0.4122	1
57.4920	2.5	iejalb	2	0.4100	2
60.4941	2.5	Aluminum	1	1.8119	1
63.4800	2.5	Definition	2	0.7329	2
66.4984	2.5	Challenge	2	0.6317	2
69.4843	2.5	Tunnel	1	0.7957	1
72.4862	2.5	Opinion	2	0.3938	2
75.5050	2.5	Background	2	0.7540	2
78.4743	2.5	Fuel	1	0.7997	1
81.4762	2.5	Vow	2	0.7309	2
84.4778	2.5	Gold	1	0.5692	1
87.4805	2.5	Cheek	2	0.4737	1
90.4988	2.5	JQBEBC	1	0.7012	1
93.4848	2.5	TQUAMB	1	0.3523	1
96.5035	2.5	PGEJFW	1	0.4854	1
99.4889	2.5	IAQQPL	1	0.4251	1
102.4911	2.5	ljaycz	2	0.4959	2
105.4765	2.5	SUMVLC	1	0.3625	1
108.4794	2.5	kkjmzq	2	0.4564	2
111.4975	2.5	IXHEFN	1	0.4354	1
114.4996	2.5	qtmlyv	2	0.3894	2
117.4845	2.5	HWOCDA	1	0.3745	1
120.5042	2.5	Ant	1	0.8727	1
123.4729	2.5	Pity	n/a	n/a	2
126.4916	2.5	Adult	1	0.3561	1
129.4774	2.5	Extreme	2	0.5633	2
132.4793	2.5	Yard	1	0.5807	1
135.4818	2.5	Quality	2	0.6261	2
138.5004	2.5	Gift	1	0.5776	1
141.4859	2.5	Herb	1	0.5591	1
144.5044	2.5	Capacity	2	0.5884	2
147.4736	2.5	Ornament	1	0.6363	1
150.4922	2.5	zefnpo	2	0.7176	2
153.4784	2.5	HJCYVN	1	0.4435	1
156.4965	2.5	lacqfu	2	0.4907	2
159.4821	2.5	bfnjvc	2	0.6077	2
162.5008	2.5	bqkoxc	2	0.6411	2
165.5028	2.5	zhuseg	2	0.5350	2
