onset	duration	stimulus_string	response	response_time	correct_response
0.5177	2.5	Animal	n/a	n/a	1
3.5197	2.5	Yacht	1	1.5233	1
6.5053	2.5	Mood	2	1.4484	2
9.4911	2.5	Dentist	1	0.9536	1
12.4938	2.5	Baby	1	0.9659	1
15.4946	2.5	Club	1	1.3351	1
18.5138	2.5	Deficient	2	1.2010	2
21.4996	2.5	Behavior	2	1.0100	2
24.5181	2.5	Intellect	2	0.9876	2
27.5038	2.5	Hot	n/a	n/a	1
30.5056	2.5	usfzsw	2	1.3802	2
33.5079	2.5	UYMRUA	1	0.8327	1
36.5099	2.5	FINLCP	1	0.7299	1
39.4960	2.5	uwacew	2	0.7157	2
42.5142	2.5	hqpfay	2	0.7085	2
45.5003	2.5	cibdvv	2	0.7235	2
48.5186	2.5	tmrnuj	2	0.6451	2
51.4872	2.5	UFCVLP	1	0.5486	1
54.5062	2.5	BHEOGM	1	0.6394	1
57.4922	2.5	iejalb	2	0.6174	2
60.5106	2.5	Aluminum	1	1.8122	1
63.4971	2.5	Definition	2	0.9309	2
66.4996	2.5	Challenge	2	1.2911	2
69.5006	2.5	Tunnel	1	1.3844	1
72.5193	2.5	Opinion	2	0.9614	2
75.5048	2.5	Background	1	2.4478	2
78.4903	2.5	Fuel	1	0.9844	1
81.4926	2.5	Vow	2	0.8362	2
84.4950	2.5	Gold	1	0.7438	1
87.4969	2.5	Cheek	1	0.9621	1
90.5154	2.5	JQBEBC	1	0.8902	1
93.5006	2.5	TQUAMB	1	0.5680	1
96.5198	2.5	PGEJFW	1	0.5678	1
99.4892	2.5	IAQQPL	1	0.6327	1
102.5075	2.5	ljaycz	2	1.5272	2
105.4935	2.5	SUMVLC	1	0.8452	1
108.5120	2.5	kkjmzq	2	0.7448	2
111.5138	2.5	IXHEFN	1	0.7290	1
114.5161	2.5	qtmlyv	2	0.6608	2
117.5020	2.5	HWOCDA	1	0.6997	1
120.4875	2.5	Ant	1	1.1532	1
123.4893	2.5	Pity	2	0.7716	2
126.5080	2.5	Adult	1	0.7467	1
129.4939	2.5	Extreme	2	0.8311	2
132.5126	2.5	Yard	1	1.8511	1
135.4983	2.5	Quality	2	0.7165	2
138.5169	2.5	Gift	1	0.6959	1
141.5024	2.5	Herb	1	0.9362	1
144.5043	2.5	Capacity	2	0.7964	2
147.5066	2.5	Ornament	1	0.8092	1
150.5086	2.5	zefnpo	2	0.8500	2
153.5106	2.5	HJCYVN	1	0.7075	1
156.4976	2.5	lacqfu	2	0.7973	2
159.4988	2.5	bfnjvc	2	0.7759	2
162.5173	2.5	bqkoxc	2	0.8634	2
165.5033	2.5	zhuseg	2	0.7564	2
168.5051	2.5	yvrfxr	2	1.3655	2
171.4909	2.5	gibsxk	2	0.9118	2
174.5091	2.5	pxtgjt	2	0.6966	2
177.4953	2.5	pcazyb	2	0.6096	2
180.5136	2.5	Failure	2	1.2673	2
183.5158	2.5	Unlimited	2	0.8898	2
186.5177	2.5	Zero	2	1.6501	2
