onset	duration	stimulus_string	response	response_time	correct_response
0.4835	2.5	Animal	n/a	n/a	1
3.5028	2.5	Yacht	1	1.4449	1
6.4711	2.5	Mood	2	1.2317	2
9.4748	2.5	Dentist	1	1.2689	1
12.4754	2.5	Baby	1	1.3261	1
15.4780	2.5	Club	1	1.4757	1
18.4799	2.5	Deficient	2	0.7837	2
21.4826	2.5	Behavior	n/a	n/a	2
24.4840	2.5	Intellect	2	0.7367	2
27.4879	2.5	Hot	1	1.1368	1
30.4717	2.5	usfzsw	2	1.4540	2
33.4910	2.5	UYMRUA	1	0.7166	1
36.4760	2.5	FINLCP	1	0.6848	1
39.4787	2.5	uwacew	2	0.5549	2
42.4805	2.5	hqpfay	2	0.5432	2
45.4830	2.5	cibdvv	2	0.5477	2
48.4848	2.5	tmrnuj	2	0.8049	2
51.4874	2.5	UFCVLP	1	0.7012	1
54.4724	2.5	BHEOGM	1	0.6902	1
57.4750	2.5	iejalb	2	0.5318	2
60.4767	2.5	Aluminum	1	0.6420	1
63.4794	2.5	Definition	1	0.5842	2
66.4808	2.5	Challenge	1	0.6168	2
69.5003	2.5	Tunnel	1	0.8133	1
72.4851	2.5	Opinion	1	0.7105	2
75.4878	2.5	Background	n/a	n/a	2
78.4729	2.5	Fuel	1	1.3585	1
81.4756	2.5	Vow	2	2.2769	2
84.4771	2.5	Gold	1	0.7224	1
87.4798	2.5	Cheek	1	1.5649	1
90.4814	2.5	JQBEBC	1	0.7362	1
93.4841	2.5	TQUAMB	1	0.5224	1
96.4859	2.5	PGEJFW	1	0.7216	1
99.4716	2.5	IAQQPL	1	0.5828	1
102.4733	2.5	ljaycz	2	0.5942	2
105.4762	2.5	SUMVLC	1	0.6465	1
108.4776	2.5	kkjmzq	2	0.5031	2
111.4969	2.5	IXHEFN	1	1.1185	1
114.4821	2.5	qtmlyv	2	0.5124	2
117.4849	2.5	HWOCDA	1	0.8066	1
120.4864	2.5	Ant	1	1.6371	1
123.4724	2.5	Pity	2	1.4531	2
126.4739	2.5	Adult	n/a	n/a	1
129.4767	2.5	Extreme	2	1.1450	2
132.4784	2.5	Yard	1	1.8461	1
135.4812	2.5	Quality	2	1.9522	2
