onset	duration	stimulus_string	response	response_time	correct_response
0.5005	2.5	Animal	1	1.9408	1
3.5028	2.5	Yacht	1	1.3244	1
6.4717	2.5	Mood	2	0.9555	2
9.4739	2.5	Dentist	n/a	n/a	1
12.4760	2.5	Baby	1	2.2402	1
15.4782	2.5	Club	1	1.9720	1
18.4796	2.5	Deficient	2	1.2337	2
21.4823	2.5	Behavior	2	1.8069	2
24.4846	2.5	Intellect	2	1.3807	2
27.4870	2.5	Hot	2	1.2351	1
30.4885	2.5	usfzsw	n/a	n/a	2
33.4743	2.5	UYMRUA	1	1.8029	1
36.4930	2.5	FINLCP	1	1.1223	1
39.4791	2.5	uwacew	2	0.7892	2
42.4973	2.5	hqpfay	2	0.9458	2
45.4997	2.5	cibdvv	2	0.9206	2
48.4845	2.5	tmrnuj	2	0.6148	2
51.4865	2.5	UFCVLP	1	0.6037	1
54.4730	2.5	BHEOGM	1	0.6991	1
57.4753	2.5	iejalb	2	0.6840	2
60.4774	2.5	Aluminum	2	1.9707	1
63.4958	2.5	Definition	n/a	n/a	2
66.4812	2.5	Challenge	2	1.0981	2
69.4844	2.5	Tunnel	1	2.1438	1
72.4860	2.5	Opinion	2	1.0103	2
75.5044	2.5	Background	2	1.6358	2
78.4730	2.5	Fuel	1	1.2933	1
81.4749	2.5	Vow	2	1.5543	2
84.4777	2.5	Gold	1	1.5306	1
87.4968	2.5	Cheek	1	1.9433	1
90.4984	2.5	JQBEBC	1	1.7188	1
93.4842	2.5	TQUAMB	1	0.9728	1
96.4867	2.5	PGEJFW	1	0.6954	1
99.4720	2.5	IAQQPL	1	0.6361	1
102.4739	2.5	ljaycz	2	1.3251	2
105.4763	2.5	SUMVLC	1	0.6691	1
108.4782	2.5	kkjmzq	2	0.7408	2
111.4968	2.5	IXHEFN	1	0.5237	1
114.4829	2.5	qtmlyv	2	0.6103	2
117.4851	2.5	HWOCDA	1	0.7141	1
120.4869	2.5	Ant	1	2.1572	1
123.4726	2.5	Pity	2	1.1137	2
126.4746	2.5	Adult	1	1.2274	1
129.4770	2.5	Extreme	2	0.9813	2
132.4790	2.5	Yard	1	1.2901	1
135.4801	2.5	Quality	2	1.5701	2
138.4831	2.5	Gift	1	1.0902	1
141.4853	2.5	Herb	1	1.2738	1
144.4882	2.5	Capacity	2	1.1200	2
147.4893	2.5	Ornament	1	1.2797	1
150.4914	2.5	zefnpo	2	1.7089	2
153.4771	2.5	HJCYVN	1	0.8359	1
156.4792	2.5	lacqfu	2	0.8189	2
159.4812	2.5	bfnjvc	2	0.8798	2
162.4835	2.5	bqkoxc	2	0.5955	2
165.4861	2.5	zhuseg	2	0.6499	2
