onset	duration	stimulus_string	response	response_time	correct_response
0.5161	2.5	Animal	1	1.8139	1
3.5186	2.5	Yacht	1	1.0712	1
6.4889	2.5	Mood	2	1.1239	2
9.5064	2.5	Dentist	1	1.0244	1
12.4920	2.5	Baby	1	0.7487	1
15.4953	2.5	Club	1	1.2026	1
18.4957	2.5	Deficient	2	1.3422	2
21.4980	2.5	Behavior	2	1.1231	2
24.5002	2.5	Intellect	n/a	n/a	2
27.5029	2.5	Hot	1	1.4499	1
30.5047	2.5	usfzsw	2	1.6239	2
33.4900	2.5	UYMRUA	1	0.9508	1
36.4922	2.5	FINLCP	1	1.4401	1
39.4943	2.5	uwacew	2	1.0926	2
42.5133	2.5	hqpfay	2	0.7686	2
45.4994	2.5	cibdvv	2	0.5767	2
48.5008	2.5	tmrnuj	2	0.9250	2
51.5027	2.5	UFCVLP	1	0.7932	1
54.5047	2.5	BHEOGM	1	1.1102	1
57.5070	2.5	iejalb	2	0.9139	2
60.5096	2.5	Aluminum	1	1.3582	1
63.4966	2.5	Definition	2	1.9334	2
66.5140	2.5	Challenge	1	1.4378	2
69.4993	2.5	Tunnel	1	1.1507	1
72.5014	2.5	Opinion	2	1.2414	2
75.5035	2.5	Background	2	1.6613	2
78.4894	2.5	Fuel	1	1.1783	1
81.4914	2.5	Vow	2	1.4233	2
84.4949	2.5	Gold	1	1.5079	1
87.4956	2.5	Cheek	1	1.8901	1
90.5143	2.5	JQBEBC	1	0.9145	1
93.5010	2.5	TQUAMB	1	0.4887	1
96.5194	2.5	PGEJFW	1	0.8914	1
99.5041	2.5	IAQQPL	1	0.9356	1
102.4893	2.5	ljaycz	2	0.9374	2
105.4917	2.5	SUMVLC	2	1.2102	1
108.4953	2.5	kkjmzq	2	0.9666	2
111.5123	2.5	IXHEFN	1	0.8875	1
114.4996	2.5	qtmlyv	2	0.7521	2
117.5003	2.5	HWOCDA	1	0.3493	1
120.5025	2.5	Ant	1	1.3645	1
123.4879	2.5	Pity	2	1.1258	2
126.4901	2.5	Adult	1	1.4286	1
129.4920	2.5	Extreme	2	2.4637	2
132.4960	2.5	Yard	1	1.1578	1
135.4974	2.5	Quality	2	1.4985	2
138.4993	2.5	Gift	1	1.3283	1
141.5014	2.5	Herb	n/a	n/a	1
144.5031	2.5	Capacity	2	1.8396	2
147.5049	2.5	Ornament	1	1.5007	1
150.5076	2.5	zefnpo	2	1.1642	2
153.4937	2.5	HJCYVN	1	0.6760	1
156.4950	2.5	lacqfu	2	0.6647	2
159.5141	2.5	bfnjvc	2	0.6317	2
162.5164	2.5	bqkoxc	2	0.8373	2
165.5023	2.5	zhuseg	2	0.6493	2
168.4870	2.5	yvrfxr	2	0.9175	2
171.4895	2.5	gibsxk	2	0.7912	2
174.4913	2.5	pxtgjt	2	0.9393	2
177.5097	2.5	pcazyb	2	1.0959	2
180.5125	2.5	Failure	2	1.5744	2
183.5148	2.5	Unlimited	2	1.4048	2
186.5169	2.5	Zero	1	2.1117	2
189.5194	2.5	Persecution	1	1.4182	2
192.4876	2.5	Elm	n/a	n/a	1
195.4897	2.5	Zoo	1	1.1222	1
198.4924	2.5	Gown	1	1.4904	1
201.4940	2.5	Talent	2	1.4126	2
204.4961	2.5	Social	2	1.6344	2
207.4983	2.5	Way	1	2.2304	2
210.5004	2.5	fptynb	2	0.8751	2
213.5196	2.5	YOMIUE	1	0.8300	1
216.5051	2.5	trqpml	n/a	n/a	2
219.4902	2.5	xyarmc	2	0.5993	2
222.4921	2.5	FZHTDH	1	0.5826	1
225.4948	2.5	SCYHZD	1	0.7597	1
228.4976	2.5	olgmbo	2	0.5532	2
