onset	duration	stimulus_string	response	response_time	correct_response
0.5007	2.5	Animal	1	1.5186	1
3.5027	2.5	Yacht	1	1.3356	1
6.4717	2.5	Mood	2	0.7585	2
9.4748	2.5	Dentist	1	0.6684	1
12.4760	2.5	Baby	1	0.7083	1
15.4792	2.5	Club	1	0.8735	1
18.4805	2.5	Deficient	2	0.6988	2
21.4841	2.5	Behavior	2	0.7162	2
24.5011	2.5	Intellect	2	0.7722	2
27.4872	2.5	Hot	2	1.4902	1
30.4887	2.5	usfzsw	2	1.1817	2
33.4756	2.5	UYMRUA	1	0.5891	1
36.4778	2.5	FINLCP	1	1.0404	1
39.4955	2.5	uwacew	2	0.5788	2
42.4975	2.5	hqpfay	2	0.6430	2
45.4841	2.5	cibdvv	2	0.7953	2
48.5017	2.5	tmrnuj	2	0.6308	2
51.5038	2.5	UFCVLP	1	0.5915	1
54.4734	2.5	BHEOGM	1	0.9519	1
57.4764	2.5	iejalb	2	0.7498	2
60.4771	2.5	Aluminum	1	2.1333	1
63.4958	2.5	Definition	2	0.7946	2
66.4814	2.5	Challenge	2	1.0830	2
69.4840	2.5	Tunnel	1	0.7543	1
72.4859	2.5	Opinion	2	0.8475	2
75.4877	2.5	Background	2	0.9434	2
78.4735	2.5	Fuel	1	1.3407	1
81.4757	2.5	Vow	2	0.7857	2
84.4945	2.5	Gold	1	0.8752	1
87.4798	2.5	Cheek	1	0.8475	1
90.4986	2.5	JQBEBC	1	0.6887	1
93.5008	2.5	TQUAMB	1	0.5194	1
96.5031	2.5	PGEJFW	1	0.4763	1
99.4729	2.5	IAQQPL	1	0.5295	1
102.4740	2.5	ljaycz	2	0.5931	2
105.4927	2.5	SUMVLC	1	0.4786	1
108.4783	2.5	kkjmzq	2	0.6902	2
111.4967	2.5	IXHEFN	1	0.5564	1
114.4827	2.5	qtmlyv	2	1.0065	2
117.5014	2.5	HWOCDA	1	0.5579	1
120.4871	2.5	Ant	1	0.6341	1
123.4892	2.5	Pity	2	0.6523	2
126.4747	2.5	Adult	1	0.6187	1
129.4933	2.5	Extreme	2	0.6899	2
132.4789	2.5	Yard	1	0.6193	1
135.4976	2.5	Quality	2	0.6257	2
138.4833	2.5	Gift	1	0.6909	1
141.4854	2.5	Herb	1	0.8038	1
144.5042	2.5	Capacity	2	0.8501	2
147.4896	2.5	Ornament	1	0.8826	1
150.4754	2.5	zefnpo	2	0.8198	2
153.4785	2.5	HJCYVN	1	0.4976	1
156.4796	2.5	lacqfu	2	0.4417	2
159.4982	2.5	bfnjvc	2	0.3590	2
162.4840	2.5	bqkoxc	2	0.4473	2
165.5025	2.5	zhuseg	2	0.4836	2
168.4714	2.5	yvrfxr	n/a	n/a	2
171.4747	2.5	gibsxk	2	0.5004	2
174.4758	2.5	pxtgjt	2	0.4986	2
177.4947	2.5	pcazyb	2	0.4654	2
180.4801	2.5	Failure	2	0.6991	2
183.4984	2.5	Unlimited	2	0.8479	2
186.5009	2.5	Zero	2	1.0064	2
189.5033	2.5	Persecution	2	0.7389	2
192.4721	2.5	Elm	1	0.6863	1
195.4742	2.5	Zoo	1	0.5982	1
198.4764	2.5	Gown	1	0.6439	1
