onset	duration	face	response	response_time	trial_type
1.2513	2.5	stimuli/Faces/JBmale68neutral.bmp	2	1.1762	CR
5.2540	2.5	stimuli/Faces/EMWfemale25neutral.bmp	2	0.9738	CR
8.7070	2.5	stimuli/Faces/JWfemale68-2neutral.bmp	1	0.7991	Hit
11.8757	2.5	stimuli/Faces/JWfemale70-4neutral.bmp	1	0.6645	Hit
14.9770	2.5	stimuli/Faces/EMBmale26neutral.bmp	1	0.6741	Hit
18.0971	2.5	stimuli/Faces/EMBfemale22neutral.bmp	1	0.7480	Hit
21.1153	2.5	stimuli/Faces/EMImale24-2neutral.bmp	1	0.7496	Hit
24.7349	2.5	stimuli/Faces/TSFBfemale70-2neutral.bmp	1	1.2652	FA
27.9876	2.5	stimuli/Faces/EMWmale52neutral.bmp	2	1.5987	Miss
32.0074	2.5	stimuli/Faces/TMBfemale33neutral.bmp	2	1.3436	CR
35.5091	2.5	stimuli/Faces/TSFWmale88neutral.bmp	1	1.8559	Hit
39.1117	2.5	stimuli/Faces/TMWmale20-4neutral.bmp	2	0.9854	CR
42.5821	2.5	stimuli/Faces/JWfemale76-4neutral.bmp	1	1.2530	Hit
46.5502	2.5	stimuli/Faces/TSFBfemale65-2neutral.bmp	1	1.4246	FA
50.1029	2.5	stimuli/Faces/Wmale_55.bmp	2	1.7312	CR
53.8737	2.5	stimuli/Faces/JWfemale39neutral.bmp	2	1.8374	CR
57.0412	2.5	stimuli/Faces/EMIfemale19neutral.bmp	1	0.9119	Hit
60.8274	2.5	stimuli/Faces/TMWfemale36neutral.bmp	2	1.1089	CR
64.6473	2.5	stimuli/Faces/JWfemale66neutral.bmp	2	1.1367	CR
68.1985	2.5	stimuli/Faces/TMWmale25-2neutral.bmp	2	1.1137	CR
72.1521	2.5	stimuli/Faces/JWfemale78-3neutral.bmp	1	1.8659	FA
75.8047	2.5	stimuli/Faces/TSFBfemale63-2neutral.bmp	2	1.3325	CR
79.0071	2.5	stimuli/Faces/Wmale_50.bmp	1	1.4360	Hit
82.5429	2.5	stimuli/Faces/TSFBfemale65neutral.bmp	2	0.9230	CR
86.4958	2.5	stimuli/Faces/JWfemale48neutral.bmp	2	1.2143	CR
89.5322	2.5	stimuli/Faces/TSFWmale66-2neutral.bmp	2	1.1188	Miss
92.6999	2.5	stimuli/Faces/EMBfemale33neutral.bmp	1	1.0312	Hit
96.2858	2.5	stimuli/Faces/TSFWfemale52-2neutral.bmp	1	1.3080	FA
99.8739	2.5	stimuli/Faces/JWfemale70-2neutral.bmp	1	1.0412	FA
