onset	duration	face	response	response_time	trial_type
0.6008	2.5	stimuli/Faces/JWmale83neutral.bmp	1	1.2320	Hit
3.9558	2.5	stimuli/Faces/EMWfemale30neutral.bmp	2	1.2439	Hit
7.2055	2.5	stimuli/Faces/JWfemale60neutral.bmp	2	n/a	NoResp
11.0582	2.5	stimuli/Faces/JWfemale69-2neutral.bmp	2	1.2363	FA
14.9289	2.5	stimuli/Faces/JWfemale42neutral.bmp	2	0.8535	CR
18.8825	2.5	stimuli/Faces/JWfemale71-5neutral.bmp	1	1.0588	Miss
22.4855	2.5	stimuli/Faces/TSFBfemale50neutral.bmp	1	1.2962	CR
26.4709	2.5	stimuli/Faces/WBmale31neutral.bmp	1	1.1405	FA
29.7050	2.5	stimuli/Faces/TSFWmale88neutral.bmp	2	1.1344	CR
33.4911	2.5	stimuli/Faces/EMHmale22neutral.bmp	2	1.0310	Hit
36.5946	2.5	stimuli/Faces/TSFBfemale65neutral.bmp	1	0.9166	CR
40.4462	2.5	stimuli/Faces/TMWmale33neutral.bmp	1	1.2239	Hit
43.8152	2.5	stimuli/Faces/EMBfemale21neutral.bmp	2	1.0251	Hit
47.0344	2.5	stimuli/Faces/EMImale25-2neutral.bmp	2	0.9628	FA
50.1362	2.5	stimuli/Faces/EMBfemale20neutral.bmp	1	0.9630	FA
53.6234	2.5	stimuli/Faces/TMBmale49neutral.bmp	2	0.9639	Hit
57.3601	2.5	stimuli/Faces/TSFBfemale63-2neutral.bmp	2	0.7821	Hit
61.0277	2.5	stimuli/Faces/TMBmale39neutral.bmp	2	0.7644	Hit
64.0795	2.5	stimuli/Faces/JWfemale71-2neutral.bmp	2	1.2022	Hit
67.7157	2.5	stimuli/Faces/TSFWmale67-2neutral.bmp	n/a	0.9309	Hit
71.4855	2.5	stimuli/Faces/TMWfemale31neutral.bmp	1	0.8553	Miss
75.0878	2.5	stimuli/Faces/TMWmale22-3neutral.bmp	1	1.0347	Miss
78.6568	2.5	stimuli/Faces/JWfemale77-4neutral.bmp	1	1.0266	Hit
82.0424	2.5	stimuli/Faces/TMWfemale49-2neutral.bmp	2	1.0026	Hit
85.2128	2.5	stimuli/Faces/TMWfemale43neutral.bmp	1	1.0676	FA
88.3820	2.5	stimuli/Faces/TSFBfemale65-3neutral.bmp	2	0.9002	Miss
92.0331	2.5	stimuli/Faces/Wmale_55-3.bmp	2	1.1512	CR
95.9852	2.5	stimuli/Faces/EMBfemale21-2neutral.bmp	1	1.7828	CR
99.6724	2.5	stimuli/Faces/EMIfemale19neutral.bmp	1	n/a	NoResp
102.6907	2.5	stimuli/Faces/EMBmale20neutral.bmp	1	1.6496	CR
106.4935	2.5	stimuli/Faces/TMWmale25-2neutral.bmp	2	0.8374	CR
109.6131	2.5	stimuli/Faces/Wmale_55.bmp	1	2.3846	CR
113.0148	2.5	stimuli/Faces/TMWmale71neutral.bmp	1	1.3454	CR
116.2005	2.5	stimuli/Faces/TSFWmale69neutral.bmp	2	0.9935	FA
119.8702	2.5	stimuli/Faces/JWfemale65-4neutral.bmp	1	1.0172	CR
123.3735	2.5	stimuli/Faces/TMBmale44neutral.bmp	1	0.9181	Hit
127.3084	2.5	stimuli/Faces/TSFBfemale63neutral.bmp	1	1.7704	Hit
131.0110	2.5	stimuli/Faces/TMWmale20-4neutral.bmp	1	0.8071	Hit
134.1629	2.5	stimuli/Faces/TMBmale21-3neutral.bmp	n/a	1.1795	Hit
137.1992	2.5	stimuli/Faces/TSFWmale74neutral.bmp	1	1.1289	Hit
140.8861	2.5	stimuli/Faces/EMBmale55neutral.bmp	n/a	0.9908	CR
144.5883	2.5	stimuli/Faces/TSFBfemale62neutral.bmp	1	1.1089	Hit
148.3405	2.5	stimuli/Faces/EMWfemale21-5neutral.bmp	1	1.0304	Hit
151.8440	2.5	stimuli/Faces/JWmale88neutral.bmp	1	1.3608	Miss
155.2956	2.5	stimuli/Faces/JWmale89neutral.bmp	2	1.6430	Miss
159.1978	2.5	stimuli/Faces/TMBfemale33neutral.bmp	2	1.0569	Miss
162.6171	2.5	stimuli/Faces/JWfemale78neutral.bmp	1	1.6427	CR
166.2030	2.5	stimuli/Faces/EMImale25neutral.bmp	1	1.1578	CR
169.8232	2.5	stimuli/Faces/TMWmale34-2neutral.bmp	1	1.1315	FA
173.2590	2.5	stimuli/Faces/TSFWmale54neutral.bmp	2	1.6417	Hit
176.7441	2.5	stimuli/Faces/JWfemale66neutral.bmp	2	1.7946	FA
180.0294	2.5	stimuli/Faces/JWfemale48neutral.bmp	2	1.0362	CR
183.8490	2.5	stimuli/Faces/TMWfemale36neutral.bmp	1	0.9600	Hit
187.1847	2.5	stimuli/Faces/TSFBfemale74-2neutral.bmp	1	1.3170	FA
191.1871	2.5	stimuli/Faces/EMWmale20neutral.bmp	2	0.9390	Hit
194.5900	2.5	stimuli/Faces/EMWfemale22neutral.bmp	2	2.3314	CR
198.5262	2.5	stimuli/Faces/TMWfemale37neutral.bmp	1	1.4886	Hit
202.0621	2.5	stimuli/Faces/JWmale64neutral.bmp	2	n/a	NoResp
205.8162	2.5	stimuli/Faces/TSFWmale42neutral.bmp	n/a	0.9746	CR
208.8673	2.5	stimuli/Faces/TSFWmale46neutral.bmp	1	1.3143	FA
212.1356	2.5	stimuli/Faces/TSFWmale70neutral.bmp	1	0.8278	Hit
215.6718	2.5	stimuli/Faces/EMIfemale26neutral.bmp	2	1.5197	Hit
219.5745	2.5	stimuli/Faces/JWfemale37neutral.bmp	1	1.2176	FA
223.4440	2.5	stimuli/Faces/EMBfemale22-2neutral.bmp	1	0.8599	CR
226.6294	2.5	stimuli/Faces/EMImale23-4neutral.bmp	1	1.0177	Hit
229.7485	2.5	stimuli/Faces/EMBfemale26neutral.bmp	1	1.3197	Hit
233.7184	2.5	stimuli/Faces/TMBfemale37neutral.bmp	1	1.3533	CR
237.5208	2.5	stimuli/Faces/JWmale83-2neutral.bmp	2	1.2276	Hit
240.7406	2.5	stimuli/Faces/TMWmale34neutral.bmp	1	n/a	NoResp
244.0757	2.5	stimuli/Faces/JWfemale77neutral.bmp	1	1.2970	FA
247.6281	2.5	stimuli/Faces/JWmale69-2neutral.bmp	2	1.2598	CR
