onset	duration	word	response	response_time	trial_type
0.7678	2.5	Bath	1	0.8022	CR
4.5872	2.5	Bed	2	0.7038	Hit
8.4731	2.5	Whale	2	0.8388	CR
12.0759	2.5	Sofa	2	0.7908	CR
15.8284	2.5	Earthworm	2	0.7247	Hit
19.8313	2.5	Duck	2	0.7156	CR
23.8344	2.5	Jeep	2	0.7956	Hit
26.9211	2.5	Shark	1	1.0242	Hit
30.2390	2.5	Mud	1	0.9706	Miss
33.6581	2.5	Film	1	0.8277	CR
37.4442	2.5	Girl	2	0.7552	CR
41.0796	2.5	Telephone	2	0.6455	CR
44.9327	2.5	Soda	2	n/a	NoResp
48.5021	2.5	Cheese	2	1.2883	FA
52.0711	2.5	Stick	2	0.9845	Hit
55.8239	2.5	Skirt	1	0.6989	CR
59.7768	2.5	Pill	2	0.6863	Hit
62.9288	2.5	Pillow	1	0.9447	Hit
66.5483	2.5	Garlic	2	0.8873	CR
69.9174	2.5	Shrimp	1	1.0812	Hit
72.9708	2.5	Sleigh	1	0.8133	CR
76.1564	2.5	Beach	1	0.8522	CR
79.6076	2.5	Ice	2	0.9154	CR
83.2435	2.5	Clown	2	1.5694	CR
86.6959	2.5	Pie	2	0.6848	Hit
90.1815	2.5	Book	2	1.6377	CR
93.9012	2.5	Rabbit	2	0.6557	Hit
97.6369	2.5	Carrot	2	0.6330	Hit
101.4564	2.5	Boat	2	0.7132	Hit
105.3594	2.5	Lion	2	0.8183	Hit
108.4117	2.5	Flag	1	0.7426	Hit
112.3144	2.5	Pear	2	0.5363	Hit
115.5333	2.5	Thread	1	0.6026	Hit
118.8186	2.5	Weed	2	0.5782	Hit
122.0046	2.5	Toe	1	1.2198	CR
125.5238	2.5	Plum	2	0.7580	Hit
129.2262	2.5	Heart	2	0.7915	Hit
132.3289	2.5	Honey	1	0.7109	CR
135.4642	2.5	Skunk	1	0.6100	Hit
138.9501	2.5	Lamb	1	0.8577	CR
141.9689	2.5	Pants	2	0.8321	CR
145.5213	2.5	Orange	2	0.8760	Hit
148.8571	2.5	Sheet	1	1.5881	CR
152.2943	2.5	Chestnut	1	0.8810	CR
155.9454	2.5	Cotton	2	0.5757	Hit
159.9649	2.5	Limousine	2	0.7920	CR
163.5010	2.5	Rug	2	0.9829	CR
166.6378	2.5	Ceiling	1	0.9179	CR
170.5728	2.5	Rain	2	0.6480	CR
174.4922	2.5	Pedal	2	0.6113	Hit
178.3615	2.5	Bridge	2	0.7378	CR
182.1139	2.5	Cigarette	1	0.9822	FA
185.2333	2.5	Stone	1	0.6113	Hit
188.6022	2.5	Apple	2	1.3496	CR
192.0880	2.5	Radio	1	0.6919	Hit
195.5573	2.5	Straw	1	0.6480	CR
199.5267	2.5	Chalk	2	0.6696	Hit
203.0787	2.5	Basin	2	0.7559	CR
206.3984	2.5	Onion	1	0.6630	Hit
209.5171	2.5	Penny	1	0.5999	Hit
212.7373	2.5	Chair	2	0.8699	Hit
216.7056	2.5	Walrus	2	0.6723	Hit
220.3584	2.5	Pig	2	0.8312	Hit
223.4439	2.5	Cork	1	0.6910	CR
226.7635	2.5	Rose	2	0.7638	CR
230.6168	2.5	Chicken	2	0.8014	CR
233.7847	2.5	Rat	1	0.6742	Hit
237.2203	2.5	Tooth	1	0.6030	Hit
240.9245	2.5	House	2	0.9566	CR
244.3089	2.5	Tea	1	0.7924	CR
247.9945	2.5	Typewriter	2	0.6929	CR
251.1306	2.5	Collar	1	0.6446	Hit
254.7343	2.5	Diamond	2	0.6453	Hit
257.8851	2.5	Banana	2	0.8480	Hit
260.8870	2.5	Meal	1	0.5909	Hit
264.8570	2.5	Milk	2	0.9419	FA
268.1091	2.5	Snake	1	0.8188	CR
271.4115	2.5	Sugar	1	n/a	NoResp
274.7485	2.5	Walnut	1	0.9799	CR
278.1496	2.5	Eye	1	1.3217	CR
281.8189	2.5	Steak	2	0.8510	Hit
285.0875	2.5	Asparagus	1	1.0443	Hit
288.6741	2.5	Ankle	2	0.7911	CR
291.9263	2.5	Sand	1	0.9726	CR
295.8281	2.5	Mouse	2	0.7459	FA
299.6317	2.5	Rice	2	0.6797	CR
303.3345	2.5	Egg	2	0.7081	CR
307.1202	2.5	Mountain	2	0.6210	CR
310.6729	2.5	Coat	2	0.6093	Hit
314.0589	2.5	Land	1	0.6801	Hit
317.4294	2.5	Car	1	0.9607	Hit
320.9471	2.5	Hat	1	0.6079	Hit
323.9994	2.5	Puddle	1	0.7159	Hit
327.8518	2.5	Lemon	2	0.6018	Hit
331.6214	2.5	Ship	2	0.8567	CR
335.4238	2.5	Necklace	2	0.8928	Hit
338.6932	2.5	Strawberry	1	0.6493	Hit
342.6460	2.5	Mirror	2	0.6363	Hit
345.6827	2.5	Gravy	1	0.7891	Miss
348.8848	2.5	Rocket	1	0.8749	CR
