onset	duration	stimulus_string	response	response_time	correct_response
0.5179	2.5	Animal	1	1.6598	1
3.5201	2.5	Yacht	1	1.3936	1
6.4897	2.5	Mood	2	0.7671	2
9.5079	2.5	Dentist	1	1.1979	1
12.4935	2.5	Baby	1	0.7230	1
15.4956	2.5	Club	1	1.0420	1
18.5143	2.5	Deficient	2	1.0943	2
21.4999	2.5	Behavior	2	0.8789	2
24.5184	2.5	Intellect	2	1.0170	2
27.5042	2.5	Hot	2	1.1114	1
30.5061	2.5	usfzsw	2	2.0706	2
33.4918	2.5	UYMRUA	1	0.6027	1
36.4952	2.5	FINLCP	1	0.6753	1
39.4961	2.5	uwacew	2	0.5394	2
42.5147	2.5	hqpfay	2	0.9727	2
45.5004	2.5	cibdvv	2	0.6823	2
48.5189	2.5	tmrnuj	2	0.4877	2
51.5057	2.5	UFCVLP	1	0.7949	1
54.5068	2.5	BHEOGM	1	0.6038	1
57.4924	2.5	iejalb	2	0.9281	2
60.5111	2.5	Aluminum	1	1.3054	1
63.5132	2.5	Definition	2	0.9534	2
66.5153	2.5	Challenge	2	1.1653	2
69.5009	2.5	Tunnel	1	1.0526	1
72.5046	2.5	Opinion	2	0.9058	2
75.4899	2.5	Background	2	1.1808	2
78.4916	2.5	Fuel	1	0.7883	1
81.4930	2.5	Vow	2	1.0577	2
84.4955	2.5	Gold	1	0.6182	1
87.4972	2.5	Cheek	1	1.0024	1
90.5158	2.5	JQBEBC	1	0.7866	1
93.5024	2.5	TQUAMB	1	0.5591	1
96.5201	2.5	PGEJFW	1	0.5044	1
99.4906	2.5	IAQQPL	1	0.6601	1
102.5081	2.5	ljaycz	2	0.9606	2
105.4934	2.5	SUMVLC	1	0.4532	1
108.5124	2.5	kkjmzq	2	0.5341	2
111.5143	2.5	IXHEFN	1	1.2255	1
114.5164	2.5	qtmlyv	2	0.5074	2
117.5021	2.5	HWOCDA	1	0.7716	1
120.5043	2.5	Ant	1	1.0783	1
123.4897	2.5	Pity	2	0.7629	2
126.5084	2.5	Adult	1	1.2510	1
129.4944	2.5	Extreme	2	0.9112	2
132.4968	2.5	Yard	1	0.6088	1
135.4986	2.5	Quality	2	0.9059	2
138.5006	2.5	Gift	1	0.9300	1
141.5032	2.5	Herb	1	0.6883	1
